,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,5,4,0.02871285,0.000669897,0.008451415,0.001753967,0.000492828,0.000863684,0.020498539,0.030338005,0.069544639,0.121611924,0.179070682,0.201157519,0.245969551,0.227336312,0.347666578,0.233807675,0.463281349,0.295008811,0.19198111,0.116147116,0.23962738,0.144728875,0.062270768,0.061595171
1,4,5,0.02871285,0.000669897,0.008451415,0.001753967,0.000492828,0.000863684,0.020498539,0.030338005,0.069544639,0.121611924,0.179070682,0.201157519,0.245969551,0.227336312,0.347666578,0.233807675,0.463281349,0.295008811,0.19198111,0.116147116,0.23962738,0.144728875,0.062270768,0.061595171
2,0,8,0.120502016,0.064501984,0.036985297,0.030186395,0.021939406,0.029307892,0.080310865,0.23155442,0.47754867,0.426093905,0.411693213,0.401240466,0.576923287,0.455891205,0.473432015,0.551375633,0.520171283,0.787988287,0.643280311,0.546372495,0.424067116,0.68116463,0.980215241,0.311571944
3,8,0,0.120502016,0.064501984,0.036985297,0.030186395,0.021939406,0.029307892,0.080310865,0.23155442,0.47754867,0.426093905,0.411693213,0.401240466,0.576923287,0.455891205,0.473432015,0.551375633,0.520171283,0.787988287,0.643280311,0.546372495,0.424067116,0.68116463,0.980215241,0.311571944
4,3,5,0.169048448,0.157313664,0.007052346,0.003164436,0.004083217,0.001641874,0.003615467,0.101698167,0.234396257,0.376158663,0.703228668,0.598455359,0.82270057,1.023177173,1.071086766,0.950150058,0.731077074,0.312397631,0.534875196,0.448879137,0.530451521,0.208954616,0.060853079,0.004128054
5,5,3,0.169048448,0.157313664,0.007052346,0.003164436,0.004083217,0.001641874,0.003615467,0.101698167,0.234396257,0.376158663,0.703228668,0.598455359,0.82270057,1.023177173,1.071086766,0.950150058,0.731077074,0.312397631,0.534875196,0.448879137,0.530451521,0.208954616,0.060853079,0.004128054
6,3,0,0.007400403,0.000474969,0.00046661,0.000661917,0.000385675,0.000423673,0.004292963,0.002651089,0.039123799,0.022516589,0.088751261,0.022621082,0.017619845,0.043835116,0.045029379,0.008034582,0.263613334,0.021918888,0.113345177,0.116820053,0.050344096,0.029558675,0.019099469,0.000940059
7,0,3,0.007400403,0.000474969,0.00046661,0.000661917,0.000385675,0.000423673,0.004292963,0.002651089,0.039123799,0.022516589,0.088751261,0.022621082,0.017619845,0.043835116,0.045029379,0.008034582,0.263613334,0.021918888,0.113345177,0.116820053,0.050344096,0.029558675,0.019099469,0.000940059
8,7,0,0.108492889,0.023972655,0.021346265,0.097145301,0.010527602,0.001826542,0.024012173,0.066107,0.136599678,0.268369108,0.824913927,0.541181649,0.20174952,0.337604827,0.316615359,0.386692724,0.139090798,0.149753291,0.166482853,0.252908664,0.272633573,0.124769521,0.112509991,0.224204934
9,0,7,0.108492889,0.023972655,0.021346265,0.097145301,0.010527602,0.001826542,0.024012173,0.066107,0.136599678,0.268369108,0.824913927,0.541181649,0.20174952,0.337604827,0.316615359,0.386692724,0.139090798,0.149753291,0.166482853,0.252908664,0.272633573,0.124769521,0.112509991,0.224204934
10,3,1,0.087870858,0.090874945,0.061052946,0.035960883,0.021849352,0.009021759,0.061955008,0.212383895,0.886724545,1.089082026,1.055119054,0.852083697,0.177648813,0.242629186,0.640954101,0.942433135,1.002583639,0.571583111,0.47506667,0.388509387,0.59548927,0.449207436,0.105638513,0.054604382
11,1,3,0.087870858,0.090874945,0.061052946,0.035960883,0.021849352,0.009021759,0.061955008,0.212383895,0.886724545,1.089082026,1.055119054,0.852083697,0.177648813,0.242629186,0.640954101,0.942433135,1.002583639,0.571583111,0.47506667,0.388509387,0.59548927,0.449207436,0.105638513,0.054604382
12,5,7,0.041059394,0.00077097,0.001065071,0.001105349,0.000918401,0.000884963,0.006428046,0.018294681,0.079906571,0.044826472,0.069820501,0.045993756,0.057560591,0.048587469,0.07496233,0.130458514,0.088437402,0.068412692,0.129728201,0.147495476,0.152141437,0.032683594,0.020549836,0.006787883
13,7,5,0.041059394,0.00077097,0.001065071,0.001105349,0.000918401,0.000884963,0.006428046,0.018294681,0.079906571,0.044826472,0.069820501,0.045993756,0.057560591,0.048587469,0.07496233,0.130458514,0.088437402,0.068412692,0.129728201,0.147495476,0.152141437,0.032683594,0.020549836,0.006787883
14,2,6,0.156049105,0.169493779,0.027354057,0.045815168,0.011685387,0.031468812,0.087203241,0.398507303,0.742738142,0.717523347,1.021211559,0.985531098,1.043747527,0.867793025,0.846033347,0.912659014,1.111722107,1.006944618,1.089907333,0.952404073,0.885416289,0.676246607,0.91582763,0.549799874
15,6,2,0.156049105,0.169493779,0.027354057,0.045815168,0.011685387,0.031468812,0.087203241,0.398507303,0.742738142,0.717523347,1.021211559,0.985531098,1.043747527,0.867793025,0.846033347,0.912659014,1.111722107,1.006944618,1.089907333,0.952404073,0.885416289,0.676246607,0.91582763,0.549799874
16,4,2,0.456802766,0.354531216,0.359636947,0.385874637,0.319114078,0.264200017,0.407492584,0.955663503,1.553792463,1.837613655,1.983998083,2.473191102,1.501003984,1.699195034,1.622253412,1.864792544,2.145317828,1.977466684,1.747006593,1.393198471,1.34106165,1.278149864,1.057484022,0.782840378
17,2,4,0.456802766,0.354531216,0.359636947,0.385874637,0.319114078,0.264200017,0.407492584,0.955663503,1.553792463,1.837613655,1.983998083,2.473191102,1.501003984,1.699195034,1.622253412,1.864792544,2.145317828,1.977466684,1.747006593,1.393198471,1.34106165,1.278149864,1.057484022,0.782840378
18,7,4,0.089464095,0.053065861,0.070910651,0.079091904,0.448586176,0.33072575,0.124603091,0.310024304,0.502256198,0.579888995,1.078186608,0.792881231,0.669869098,0.402418391,0.286714326,0.472479036,0.55746778,0.749458009,0.925870002,0.643794798,0.903813564,0.885580818,0.381504158,0.229133596
19,4,7,0.089464095,0.053065861,0.070910651,0.079091904,0.448586176,0.33072575,0.124603091,0.310024304,0.502256198,0.579888995,1.078186608,0.792881231,0.669869098,0.402418391,0.286714326,0.472479036,0.55746778,0.749458009,0.925870002,0.643794798,0.903813564,0.885580818,0.381504158,0.229133596
