,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,5,4,0.043069275,0.001004846,0.012677123,0.002630951,0.000739242,0.001295526,0.030747809,0.045507008,0.104316959,0.182417886,0.268606023,0.301736279,0.368954327,0.341004468,0.521499867,0.350711513,0.694922024,0.442513217,0.287971665,0.174220674,0.35944107,0.217093313,0.093406152,0.092392757
1,4,5,0.043069275,0.001004846,0.012677123,0.002630951,0.000739242,0.001295526,0.030747809,0.045507008,0.104316959,0.182417886,0.268606023,0.301736279,0.368954327,0.341004468,0.521499867,0.350711513,0.694922024,0.442513217,0.287971665,0.174220674,0.35944107,0.217093313,0.093406152,0.092392757
2,0,8,0.180753024,0.096752976,0.055477946,0.045279593,0.032909109,0.043961838,0.120466298,0.34733163,0.716323005,0.639140858,0.61753982,0.601860699,0.865384931,0.683836808,0.710148023,0.82706345,0.780256925,1.181982431,0.964920467,0.819558743,0.636100674,1.021746945,1.470322862,0.467357916
3,8,0,0.180753024,0.096752976,0.055477946,0.045279593,0.032909109,0.043961838,0.120466298,0.34733163,0.716323005,0.639140858,0.61753982,0.601860699,0.865384931,0.683836808,0.710148023,0.82706345,0.780256925,1.181982431,0.964920467,0.819558743,0.636100674,1.021746945,1.470322862,0.467357916
4,3,5,0.253572672,0.235970496,0.010578519,0.004746654,0.006124826,0.002462811,0.005423201,0.152547251,0.351594386,0.564237995,1.054843002,0.897683039,1.234050855,1.53476576,1.606630149,1.425225087,1.096615611,0.468596447,0.802312794,0.673318706,0.795677282,0.313431924,0.091279619,0.006192081
5,5,3,0.253572672,0.235970496,0.010578519,0.004746654,0.006124826,0.002462811,0.005423201,0.152547251,0.351594386,0.564237995,1.054843002,0.897683039,1.234050855,1.53476576,1.606630149,1.425225087,1.096615611,0.468596447,0.802312794,0.673318706,0.795677282,0.313431924,0.091279619,0.006192081
6,3,0,0.011100605,0.000712454,0.000699915,0.000992876,0.000578513,0.00063551,0.006439445,0.003976634,0.058685699,0.033774884,0.133126892,0.033931623,0.026429768,0.065752674,0.067544069,0.012051873,0.395420001,0.032878332,0.170017766,0.17523008,0.075516144,0.044338013,0.028649204,0.001410089
7,0,3,0.011100605,0.000712454,0.000699915,0.000992876,0.000578513,0.00063551,0.006439445,0.003976634,0.058685699,0.033774884,0.133126892,0.033931623,0.026429768,0.065752674,0.067544069,0.012051873,0.395420001,0.032878332,0.170017766,0.17523008,0.075516144,0.044338013,0.028649204,0.001410089
8,7,0,0.162739334,0.035958983,0.032019398,0.145717952,0.015791403,0.002739813,0.03601826,0.0991605,0.204899517,0.402553662,1.237370891,0.811772474,0.30262428,0.506407241,0.474923039,0.580039086,0.208636197,0.224629937,0.24972428,0.379362996,0.40895036,0.187154282,0.168764987,0.336307401
9,0,7,0.162739334,0.035958983,0.032019398,0.145717952,0.015791403,0.002739813,0.03601826,0.0991605,0.204899517,0.402553662,1.237370891,0.811772474,0.30262428,0.506407241,0.474923039,0.580039086,0.208636197,0.224629937,0.24972428,0.379362996,0.40895036,0.187154282,0.168764987,0.336307401
10,3,1,0.131806287,0.136312418,0.091579419,0.053941325,0.032774028,0.013532639,0.092932512,0.318575843,1.330086818,1.633623039,1.582678581,1.278125546,0.26647322,0.363943779,0.961431152,1.413649703,1.503875459,0.857374667,0.712600005,0.582764081,0.893233905,0.673811154,0.15845777,0.081906573
11,1,3,0.131806287,0.136312418,0.091579419,0.053941325,0.032774028,0.013532639,0.092932512,0.318575843,1.330086818,1.633623039,1.582678581,1.278125546,0.26647322,0.363943779,0.961431152,1.413649703,1.503875459,0.857374667,0.712600005,0.582764081,0.893233905,0.673811154,0.15845777,0.081906573
12,5,7,0.061589091,0.001156455,0.001597607,0.001658024,0.001377602,0.001327445,0.009642069,0.027442022,0.119859857,0.067239708,0.104730752,0.068990634,0.086340887,0.072881204,0.112443495,0.195687771,0.132656103,0.102619038,0.194592302,0.221243214,0.228212156,0.049025391,0.030824754,0.010181825
13,7,5,0.061589091,0.001156455,0.001597607,0.001658024,0.001377602,0.001327445,0.009642069,0.027442022,0.119859857,0.067239708,0.104730752,0.068990634,0.086340887,0.072881204,0.112443495,0.195687771,0.132656103,0.102619038,0.194592302,0.221243214,0.228212156,0.049025391,0.030824754,0.010181825
14,2,6,0.234073658,0.254240669,0.041031086,0.068722752,0.017528081,0.047203218,0.130804862,0.597760955,1.114107213,1.076285021,1.531817339,1.478296647,1.565621291,1.301689538,1.269050021,1.368988521,1.667583161,1.510416927,1.634861,1.42860611,1.328124434,1.014369911,1.373741445,0.824699811
15,6,2,0.234073658,0.254240669,0.041031086,0.068722752,0.017528081,0.047203218,0.130804862,0.597760955,1.114107213,1.076285021,1.531817339,1.478296647,1.565621291,1.301689538,1.269050021,1.368988521,1.667583161,1.510416927,1.634861,1.42860611,1.328124434,1.014369911,1.373741445,0.824699811
16,4,2,0.685204149,0.531796824,0.539455421,0.578811956,0.478671117,0.396300026,0.611238876,1.433495255,2.330688695,2.756420483,2.975997125,3.709786653,2.251505976,2.548792551,2.433380118,2.797188816,3.217976742,2.966200026,2.62050989,2.089797707,2.011592475,1.917224796,1.586226033,1.174260567
17,2,4,0.685204149,0.531796824,0.539455421,0.578811956,0.478671117,0.396300026,0.611238876,1.433495255,2.330688695,2.756420483,2.975997125,3.709786653,2.251505976,2.548792551,2.433380118,2.797188816,3.217976742,2.966200026,2.62050989,2.089797707,2.011592475,1.917224796,1.586226033,1.174260567
18,7,4,0.134196143,0.079598792,0.106365977,0.118637856,0.672879264,0.496088625,0.186904637,0.465036456,0.753384297,0.869833493,1.617279912,1.189321847,1.004803647,0.603627587,0.430071489,0.708718554,0.83620167,1.124187014,1.388805003,0.965692197,1.355720346,1.328371227,0.572256237,0.343700394
19,4,7,0.134196143,0.079598792,0.106365977,0.118637856,0.672879264,0.496088625,0.186904637,0.465036456,0.753384297,0.869833493,1.617279912,1.189321847,1.004803647,0.603627587,0.430071489,0.708718554,0.83620167,1.124187014,1.388805003,0.965692197,1.355720346,1.328371227,0.572256237,0.343700394
20,6,5,0.125672913,0.014192085,0.139026012,0.35058783,0.353992221,0.351332772,0.070819077,0.014860083,0.400952636,1.05969282,0.801464688,0.693211563,0.443903358,0.403478142,0.626629593,0.808521974,0.671753016,0.810279741,1.259542463,0.433879413,0.217210155,0.443977452,0.245647902,0.331096796
21,5,6,0.125672913,0.014192085,0.139026012,0.35058783,0.353992221,0.351332772,0.070819077,0.014860083,0.400952636,1.05969282,0.801464688,0.693211563,0.443903358,0.403478142,0.626629593,0.808521974,0.671753016,0.810279741,1.259542463,0.433879413,0.217210155,0.443977452,0.245647902,0.331096796
22,8,2,0.00233514,0.000841266,0.000760901,0.000763751,0.000834996,0.000734112,0.000837846,0.024100898,0.265753926,0.359620608,0.789199649,0.658424996,0.628748147,0.362280057,0.685267986,1.422349623,1.296456134,0.926373851,0.659803736,0.597851009,0.679942818,0.70274819,0.399395496,0.048907409
23,2,8,0.00233514,0.000841266,0.000760901,0.000763751,0.000834996,0.000734112,0.000837846,0.024100898,0.265753926,0.359620608,0.789199649,0.658424996,0.628748147,0.362280057,0.685267986,1.422349623,1.296456134,0.926373851,0.659803736,0.597851009,0.679942818,0.70274819,0.399395496,0.048907409
24,8,4,0.011254496,0.002361359,0.001274438,0.001933886,0.001685382,0.00138672,0.002892564,0.005828445,0.028921077,0.102994074,0.341226183,1.250502275,0.412865438,0.056414966,0.077586821,0.031268756,0.001950984,0.01536906,0.00092334,0.000967227,0.000791679,0.000743802,0.000698205,0.00186549
25,4,8,0.011254496,0.002361359,0.001274438,0.001933886,0.001685382,0.00138672,0.002892564,0.005828445,0.028921077,0.102994074,0.341226183,1.250502275,0.412865438,0.056414966,0.077586821,0.031268756,0.001950984,0.01536906,0.00092334,0.000967227,0.000791679,0.000743802,0.000698205,0.00186549
26,1,2,0.002153322,0.000739812,0.005828445,0.00715361,0.004509549,0.003404961,0.00093246,0.026165304,0.03136793,0.012462818,0.015487613,0.036895433,0.12525171,0.06890001,0.061261932,0.023117711,0.032334017,0.025073825,0.011399835,0.00341693,0.003208323,0.001203192,0.000707895,0.000852095
27,2,1,0.002153322,0.000739812,0.005828445,0.00715361,0.004509549,0.003404961,0.00093246,0.026165304,0.03136793,0.012462818,0.015487613,0.036895433,0.12525171,0.06890001,0.061261932,0.023117711,0.032334017,0.025073825,0.011399835,0.00341693,0.003208323,0.001203192,0.000707895,0.000852095
